iter	Logloss
312	0.595197498
313	0.5950019699
314	0.5947872215
315	0.5945619629
316	0.5943718156
317	0.5941311402
318	0.5938576155
319	0.5936817533
320	0.5935385548
321	0.5933490957
322	0.5931857245
323	0.5930182118
324	0.5928580387
325	0.5926827374
326	0.5925289482
327	0.592363745
328	0.5921648861
329	0.5919958016
330	0.5918565992
331	0.5917235131
332	0.5915740576
333	0.5914563703
334	0.591259338
335	0.5910659759
336	0.5908601179
337	0.59067071
338	0.5904961992
339	0.5903468402
340	0.5901594101
341	0.5900506987
342	0.5897673019
343	0.5896624225
344	0.5894903179
345	0.5893322634
346	0.5892071051
347	0.5889753622
348	0.588838593
349	0.5886537968
350	0.5884308709
351	0.5882133423
352	0.5880497185
353	0.587878988
354	0.5876938034
355	0.587539789
356	0.5873834088
357	0.5871884466
358	0.5870391346
359	0.5867633401
360	0.586630488
361	0.5864636364
362	0.5863310445
363	0.5861395208
364	0.5859499578
365	0.5857796675
366	0.5855737966
367	0.5854386747
368	0.5852769522
369	0.5850081702
370	0.5848047929
371	0.5846176268
372	0.5844943609
373	0.5843038666
374	0.5841474634
375	0.5840209897
376	0.5838665071
377	0.5836238899
378	0.5834980273
379	0.5833916046
380	0.5831549581
381	0.583031716
382	0.5829030262
383	0.5827217142
384	0.5825408832
385	0.5823952695
386	0.5821780485
387	0.58201156
388	0.5818594561
389	0.5816593195
390	0.5814888748
391	0.5813331388
392	0.5811387019
393	0.5809776564
394	0.5807835858
395	0.5805549009
396	0.5804130063
397	0.5803209728
398	0.5802143207
399	0.5799818696
400	0.5798345101
401	0.5796539621
402	0.5794595379
403	0.579350718
404	0.5792163541
405	0.5790590029
406	0.5789226815
407	0.5787560493
408	0.5786147215
409	0.5784889613
410	0.5783482269
411	0.5781758316
412	0.5780313685
413	0.5778299496
414	0.577674523
415	0.5774654352
416	0.5772409396
417	0.5770467542
418	0.5769069522
419	0.5767082318
420	0.5765461053
421	0.576398524
422	0.576207212
423	0.5760934038
424	0.5759169243
425	0.5757446478
426	0.575552111
427	0.5753464309
428	0.5751831999
429	0.5749227534
430	0.5747994413
431	0.5745610036
432	0.5743351079
433	0.5741614899
434	0.5739715577
435	0.573739283
436	0.5735037858
437	0.5733746962
438	0.5732136097
439	0.5730941763
440	0.5729148142
441	0.5727321274
442	0.5725974784
443	0.5723515687
444	0.57215901
445	0.5719754075
446	0.5717837528
447	0.5715309054
448	0.5713508103
449	0.5711810572
450	0.5710350979
451	0.5708537944
452	0.5705789233
453	0.5704164265
454	0.5703026363
455	0.570158587
456	0.5699101347
457	0.5697092447
458	0.5695894722
459	0.5693875354
460	0.5692720153
461	0.569044186
462	0.5688863483
463	0.5687042924
464	0.5685913612
465	0.5684839738
466	0.568390784
467	0.5681804316
468	0.5681570908
469	0.5679917001
470	0.5678779557
471	0.5677563222
472	0.567613801
473	0.567416837
474	0.5673192288
475	0.5671536925
476	0.5670342977
477	0.5669102862
478	0.5667286401
479	0.5665991282
480	0.5664332681
481	0.5663013636
482	0.566270719
483	0.5660945519
484	0.5659631614
485	0.5658336371
486	0.5656961178
487	0.5655483378
488	0.5654162193
489	0.5652866809
490	0.5650736122
491	0.5649518058
492	0.5647633124
493	0.5646141207
494	0.5644960708
495	0.5643404612
496	0.5641498168
497	0.5640155899
498	0.5638473383
499	0.5636582816
500	0.5635063648
501	0.5633314323
502	0.5631339504
503	0.562935262
504	0.5627407134
505	0.5626238757
506	0.5624703613
507	0.5622882099
508	0.5621306071
509	0.5620046139
510	0.561781132
511	0.5616221665
512	0.5613914031
513	0.5611989427
514	0.5610769015
515	0.5608281849
516	0.5606467229
517	0.560495923
518	0.5603344959
519	0.5603213165
520	0.5601617035
521	0.5599869664
522	0.5598799624
523	0.5597820692
524	0.5596435241
525	0.5595224842
526	0.5593478957
527	0.5592122495
528	0.5590808347
529	0.5589568532
530	0.5588498392
531	0.5585977224
532	0.5584608698
533	0.5583269378
534	0.5581811585
535	0.5580086165
536	0.5579376119
537	0.5577926633
538	0.557597124
539	0.5574960662
540	0.5573705878
541	0.5572233001
